BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,1.0000,0.9400,0.8600,0.8800,0.8200,0.8200,0.7800,0.9800,0.8200,0.9000,0.8200
0.0001,1.0000,0.9400,0.8600,0.8800,0.8200,0.8160,0.7760,0.9800,0.8200,0.8960,0.8160
0.0010,1.0000,0.9400,0.8640,0.8880,0.8200,0.7960,0.7720,0.9600,0.8040,0.8920,0.8240
0.0100,0.9800,0.9040,0.8600,0.8040,0.8160,0.7720,0.7280,0.8960,0.7360,0.8480,0.7840
0.1000,0.6800,0.5800,0.5440,0.5120,0.5000,0.5640,0.5000,0.4840,0.4760,0.5760,0.5120
0.2000,0.4240,0.4040,0.4080,0.4000,0.4120,0.4040,0.4040,0.3760,0.3720,0.4040,0.4040
0.4000,0.3880,0.3880,0.3800,0.3720,0.3800,0.3800,0.3920,0.3800,0.3800,0.3640,0.3840
0.6000,0.3800,0.3760,0.3800,0.3800,0.3800,0.3800,0.2800,0.3800,0.3800,0.3520,0.3800
0.8000,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3120,0.3800,0.3800,0.3440,0.3800
1.0000,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3000,0.3800,0.3800,0.3800,0.3800
