BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,1.0000,0.9600,0.7800,0.8000,0.8200,0.8800,0.9200,0.7600,0.7800,0.7800,0.9000
0.0001,1.0000,0.9604,0.7808,0.7996,0.8196,0.8800,0.9204,0.7596,0.7796,0.7792,0.8996
0.0010,0.9996,0.9600,0.7748,0.7944,0.8152,0.8712,0.9140,0.7588,0.7772,0.7776,0.8948
0.0100,0.9888,0.9476,0.7228,0.7564,0.7904,0.8212,0.8620,0.7188,0.7276,0.7520,0.8344
0.1000,0.6736,0.5560,0.5212,0.4824,0.4888,0.5332,0.4944,0.4424,0.4404,0.4896,0.4960
0.2000,0.4556,0.4172,0.4060,0.3884,0.3944,0.4228,0.3912,0.3932,0.3936,0.3984,0.3952
0.4000,0.3776,0.3628,0.3772,0.3784,0.3808,0.3724,0.3800,0.3776,0.3800,0.3756,0.3804
0.6000,0.3788,0.3736,0.3800,0.3800,0.3800,0.3808,0.3800,0.3800,0.3796,0.3796,0.3800
0.8000,0.3800,0.3760,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800
1.0000,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800
